timestamp,bid_p_0,bid_v_0,ask_p_0,ask_v_0,bid_p_1,bid_v_1,ask_p_1,ask_v_1,bid_p_2,bid_v_2,ask_p_2,ask_v_2,bid_p_3,bid_v_3,ask_p_3,ask_v_3,bid_p_4,bid_v_4,ask_p_4,ask_v_4,bid_p_5,bid_v_5,ask_p_5,ask_v_5,bid_p_6,bid_v_6,ask_p_6,ask_v_6,bid_p_7,bid_v_7,ask_p_7,ask_v_7,bid_p_8,bid_v_8,ask_p_8,ask_v_8,bid_p_9,bid_v_9,ask_p_9,ask_v_9,bid_p_10,bid_v_10,ask_p_10,ask_v_10,bid_p_11,bid_v_11,ask_p_11,ask_v_11,bid_p_12,bid_v_12,ask_p_12,ask_v_12,bid_p_13,bid_v_13,ask_p_13,ask_v_13,bid_p_14,bid_v_14,ask_p_14,ask_v_14,bid_p_15,bid_v_15,ask_p_15,ask_v_15,bid_p_16,bid_v_16,ask_p_16,ask_v_16,bid_p_17,bid_v_17,ask_p_17,ask_v_17,bid_p_18,bid_v_18,ask_p_18,ask_v_18,bid_p_19,bid_v_19,ask_p_19,ask_v_19,bid_p_20,bid_v_20,ask_p_20,ask_v_20,bid_p_21,bid_v_21,ask_p_21,ask_v_21,bid_p_22,bid_v_22,ask_p_22,ask_v_22,bid_p_23,bid_v_23,ask_p_23,ask_v_23,bid_p_24,bid_v_24,ask_p_24,ask_v_24,bid_p_25,bid_v_25,ask_p_25,ask_v_25,bid_p_26,bid_v_26,ask_p_26,ask_v_26,bid_p_27,bid_v_27,ask_p_27,ask_v_27,bid_p_28,bid_v_28,ask_p_28,ask_v_28,bid_p_29,bid_v_29,ask_p_29,ask_v_29,bid_p_30,bid_v_30,ask_p_30,ask_v_30,bid_p_31,bid_v_31,ask_p_31,ask_v_31,bid_p_32,bid_v_32,ask_p_32,ask_v_32,bid_p_33,bid_v_33,ask_p_33,ask_v_33,bid_p_34,bid_v_34,ask_p_34,ask_v_34,bid_p_35,bid_v_35,ask_p_35,ask_v_35,bid_p_36,bid_v_36,ask_p_36,ask_v_36,bid_p_37,bid_v_37,ask_p_37,ask_v_37,bid_p_38,bid_v_38,ask_p_38,ask_v_38,bid_p_39,bid_v_39,ask_p_39,ask_v_39,bid_p_40,bid_v_40,ask_p_40,ask_v_40,bid_p_41,bid_v_41,ask_p_41,ask_v_41,bid_p_42,bid_v_42,ask_p_42,ask_v_42,bid_p_43,bid_v_43,ask_p_43,ask_v_43,bid_p_44,bid_v_44,ask_p_44,ask_v_44,bid_p_45,bid_v_45,ask_p_45,ask_v_45,bid_p_46,bid_v_46,ask_p_46,ask_v_46,bid_p_47,bid_v_47,ask_p_47,ask_v_47,bid_p_48,bid_v_48,ask_p_48,ask_v_48,bid_p_49,bid_v_49,ask_p_49,ask_v_49
2025-10-21T19:06:23.416952,3870.72,4.90156,3870.73,8.39876,3870.68,0.10333,3870.9,0.36978,3870.56,0.00194,3870.91,0.9286,3870.45,0.52734,3871.06,0.25832,3870.44,0.25836,3871.27,0.00194,3870.37,0.12916,3871.34,1.02785,3870.36,0.071,3871.36,2.732,3870.32,0.004,3871.42,0.64564,3870.3,0.38973,3871.52,0.77504,3870.29,0.64583,3871.66,0.00194,3870.28,0.004,3871.71,0.4076,3870.2,0.008,3871.72,0.24397,3870.17,0.00194,3871.82,0.82153,3870.13,0.64585,3871.87,0.50065,3870.11,0.025,3871.88,0.263,3870.1,1.83423,3872.05,1.54731,3870.08,0.85046,3872.06,0.12714,3870.07,2.58299,3872.07,0.85228,3870.06,0.40372,3872.08,0.9286,3870.04,0.016,3872.2,1.1025,3870.03,0.75207,3872.25,1.72233,3870.02,0.30804,3872.44,0.00194,3869.99,1.01869,3872.48,0.50065,3869.97,1.38293,3872.56,4.60348,3869.96,0.73095,3872.57,14.14875,3869.94,0.39643,3872.61,28.03679,3869.93,0.28552,3872.65,0.12916,3869.9,0.91802,3872.68,0.64673,3869.87,0.33983,3872.7,0.3,3869.86,0.30642,3872.75,0.2,3869.85,1.27371,3872.76,0.003,3869.84,0.25836,3872.83,3.10975,3869.81,0.50565,3872.85,0.85228,3869.78,0.00194,3872.86,5.23767,3869.77,0.77504,3872.87,0.50065,3869.72,0.00194,3872.91,0.2,3869.69,0.85058,3873.05,12.93017,3869.67,0.53206,3873.18,6.45349,3869.66,2.27268,3873.21,0.2,3869.65,0.85228,3873.22,0.00194,3869.64,0.75218,3873.26,1.1025,3869.63,0.9286,3873.3,0.00268,3869.6,1.0187,3873.31,0.2,3869.58,2.48565,3873.41,0.64673,3869.57,0.73108,3873.44,0.006,3869.55,0.3965,3873.45,0.02593,3869.54,0.28556,3873.48,0.12326,3869.48,1.13872,3873.49,2.69177,3869.47,1.26811,3873.5,3.89827,3869.46,1.40311,3873.51,5.0
2025-10-21T19:06:40.738700,3871.88,5.14761,3871.89,5.94135,3871.77,0.38741,3871.9,0.2,3871.61,0.10331,3871.93,0.004,3871.55,0.12912,3871.97,0.64955,3871.52,0.005,3872.05,0.00994,3871.43,0.05,3872.21,0.016,3871.42,0.53907,3872.24,0.77492,3871.41,1.12135,3872.39,0.28469,3871.4,0.64564,3872.42,0.77471,3871.36,0.004,3872.44,0.00194,3871.34,0.00194,3872.49,0.13062,3871.32,0.004,3872.57,0.04649,3871.28,0.004,3872.65,0.12916,3871.27,0.025,3872.75,0.2,3871.2,0.008,3872.76,0.003,3871.11,0.04185,3872.79,0.3,3871.07,0.77081,3872.8,1.43812,3871.06,2.58229,3872.83,0.00194,3871.04,0.016,3872.86,0.85228,3871.02,0.62166,3872.87,0.50065,3871.01,0.50065,3872.89,3.26295,3870.95,0.00194,3872.91,0.2,3870.92,0.51658,3873.15,3.30392,3870.89,0.64572,3873.18,6.45349,3870.78,0.1307,3873.21,0.2,3870.74,0.12917,3873.22,0.00194,3870.65,0.93016,3873.25,4.84063,3870.56,0.00194,3873.26,1.1025,3870.53,1.1025,3873.29,3.10781,3870.5,1.49901,3873.3,0.00268,3870.49,4.19936,3873.31,0.2,3870.48,12.93017,3873.35,4.30404,3870.47,0.85048,3873.38,5.51967,3870.45,0.40073,3873.41,0.64673,3870.43,0.77481,3873.42,0.263,3870.42,0.75192,3873.44,0.006,3870.38,1.01834,3873.45,0.02593,3870.36,1.38285,3873.48,0.12326,3870.35,0.7308,3873.5,0.02444,3870.34,0.20406,3873.53,14.14527,3870.33,0.39635,3873.56,0.50065,3870.32,0.28546,3873.57,0.59867,3870.3,0.50065,3873.61,0.00194,3870.26,0.33984,3873.67,0.85228,3870.25,1.12616,3873.69,1.1025,3870.24,1.27355,3873.9,0.00194,3870.17,0.00194,3873.95,0.51543,3870.15,1.72233,3873.99,0.23,3870.13,0.77481,3874.0,0.00194,3870.08,0.85046,3874.07,8.51393
2025-10-21T19:06:50.757245,3872.54,4.56846,3872.55,7.17786,3872.5,0.002,3872.59,0.48231,3872.46,0.004,3872.6,0.19,3872.42,0.004,3872.61,0.37818,3872.41,0.46301,3872.65,0.004,3872.37,0.10329,3872.69,0.004,3872.34,0.008,3872.74,0.19,3872.3,0.38736,3872.75,0.2,3872.18,0.021,3872.76,0.193,3872.12,0.00194,3872.77,0.93661,3872.09,0.1291,3872.79,0.60453,3872.04,0.2585,3872.8,0.77463,3872.02,0.025,3872.83,0.00194,3871.89,0.52945,3872.86,0.50065,3871.88,1.17013,3872.91,0.97471,3871.87,0.64556,3872.93,0.016,3871.8,0.46938,3872.95,0.3,3871.75,0.62486,3873.19,0.12907,3871.73,0.00194,3873.2,0.39717,3871.68,2.84013,3873.21,0.2,3871.67,0.64559,3873.22,0.00194,3871.58,0.7707,3873.24,0.92861,3871.42,0.005,3873.31,0.2,3871.4,0.17095,3873.36,0.70297,3871.35,0.1261,3873.37,1.36842,3871.34,0.00194,3873.38,0.263,3871.29,0.27719,3873.44,0.006,3871.28,0.92861,3873.45,0.2699,3871.18,1.76097,3873.48,0.12326,3871.16,1.07217,3873.5,0.02444,3871.15,2.04137,3873.51,0.3,3871.13,1.49882,3873.57,0.59867,3871.06,0.33981,3873.61,0.00194,3871.05,0.59107,3873.67,0.85228,3871.04,1.27348,3873.69,1.1025,3871.0,0.00614,3873.73,0.12911,3870.97,0.50065,3873.85,1.22621,3870.95,0.206,3873.86,4.10598,3870.86,0.85034,3873.9,0.00194,3870.85,1.38317,3873.98,0.04888,3870.84,1.17542,3873.99,0.23,3870.81,0.75186,3874.0,6.03941,3870.77,1.01824,3874.01,0.50065,3870.75,0.95732,3874.03,14.14343,3870.74,0.44546,3874.08,5.32894,3870.71,0.28542,3874.09,1.1025,3870.61,0.92388,3874.12,0.006,3870.6,0.66892,3874.15,3.10781,3870.59,0.66892,3874.19,13.34842,3870.56,0.00194,3874.21,33.04478
2025-10-21T19:07:00.757847,3871.88,7.5975,3871.89,0.15166,3871.85,0.025,3871.93,0.10329,3871.83,1.10357,3871.99,0.64554,3871.73,0.00194,3872.07,0.26972,3871.68,0.12911,3872.08,0.90359,3871.62,0.61112,3872.23,0.2,3871.58,0.64561,3872.39,0.64209,3871.55,0.42539,3872.4,0.38735,3871.54,0.005,3872.44,0.00194,3871.53,0.005,3872.45,0.77474,3871.45,0.3398,3872.48,0.71,3871.44,1.59856,3872.52,0.04648,3871.43,0.95711,3872.55,0.3,3871.42,0.50065,3872.56,0.3,3871.4,0.12912,3872.64,0.002,3871.38,0.31009,3872.68,0.004,3871.36,0.31199,3872.72,0.004,3871.34,0.00194,3872.75,0.2,3871.26,2.5822,3872.8,0.008,3871.25,0.85055,3872.83,0.00194,3871.23,0.4007,3872.96,0.016,3871.2,0.75183,3873.01,0.97303,3871.19,0.64567,3873.02,3.25973,3871.17,0.005,3873.16,0.64258,3871.16,1.01822,3873.17,0.2,3871.15,0.4145,3873.22,0.00194,3871.14,0.95779,3873.23,0.263,3871.13,0.71263,3873.28,0.50065,3871.1,0.28541,3873.29,0.2,3871.08,0.13,3873.34,1.1025,3871.04,0.31656,3873.4,0.2,3870.97,0.50065,3873.44,0.009,3870.95,0.00194,3873.45,0.02593,3870.9,0.00268,3873.47,0.30996,3870.85,0.04649,3873.48,0.12326,3870.74,0.12917,3873.5,0.91514,3870.56,0.00194,3873.61,0.00194,3870.53,1.1025,3873.72,0.85228,3870.5,0.64673,3873.85,5.69892,3870.49,4.26448,3873.86,14.14405,3870.48,13.13424,3873.87,3.10781,3870.39,0.77474,3873.88,0.2,3870.37,0.85228,3873.89,0.50065,3870.3,0.50065,3873.9,0.00194,3870.25,1.80555,3873.93,8.7736,3870.22,3.76323,3873.94,12.93017,3870.21,0.66882,3873.95,1.1025,3870.17,0.00194,3874.0,0.00194,3870.15,1.72233,3874.1,2.65253,3870.1,3.25973,3874.12,0.009
2025-10-21T19:07:10.737442,3871.84,7.91059,3871.85,6.62677,3871.82,0.016,3871.95,0.64555,3871.79,0.005,3871.99,0.1033,3871.73,0.00194,3872.05,0.64553,3871.62,0.15568,3872.06,0.0097,3871.61,0.25852,3872.32,0.2,3871.47,0.19,3872.39,0.46367,3871.46,0.89252,3872.4,0.2,3871.45,1.59,3872.42,0.004,3871.44,1.4,3872.43,0.19,3871.42,0.47698,3872.44,0.00194,3871.4,0.12909,3872.46,0.004,3871.39,0.77476,3872.5,0.25088,3871.34,0.00194,3872.52,0.25799,3871.27,0.31002,3872.54,0.008,3871.26,0.77488,3872.6,0.28622,3871.24,1.28449,3872.61,0.50065,3871.23,0.025,3872.7,0.14647,3871.17,0.005,3872.71,0.31175,3871.08,2.58233,3872.83,0.00194,3871.07,1.2761,3872.91,0.2,3871.06,0.41473,3873.2,0.24874,3871.05,2.04647,3873.22,0.00194,3871.04,3.05041,3873.23,1.1025,3871.02,0.37946,3873.25,0.50065,3870.97,1.35884,3873.35,1.49901,3870.95,2.23048,3873.4,4.84046,3870.92,0.63098,3873.41,3.71821,3870.91,0.28548,3873.43,0.30951,3870.86,0.31941,3873.44,0.86325,3870.59,1.1025,3873.45,0.02593,3870.56,0.00194,3873.48,0.12326,3870.52,0.12608,3873.5,0.02444,3870.51,4.0527,3873.61,0.00194,3870.5,12.93017,3873.68,0.3291,3870.46,0.40385,3873.69,1.1025,3870.37,0.85228,3873.74,3.10781,3870.3,1.14738,3873.88,12.93017,3870.17,0.00194,3873.9,0.00194,3870.16,0.51412,3873.92,5.0,3870.15,1.72233,3873.94,0.04888,3870.06,0.003,3873.98,1.19387,3870.05,0.675,3874.0,0.00194,3870.04,0.66887,3874.1,0.00268,3870.01,3.1789,3874.11,2.86531,3870.0,3.08823,3874.12,4.38084,3869.98,1.1025,3874.21,1.72186,3869.96,6.45885,3874.22,1.1025,3869.9,0.00268,3874.23,0.12909,3869.85,0.50065,3874.27,0.05749
2025-10-21T19:07:20.779531,3872.12,9.19405,3872.13,5.58232,3872.08,0.004,3872.17,0.004,3872.05,0.1291,3872.2,0.1291,3872.04,0.004,3872.21,0.004,3872.01,0.1033,3872.25,0.19,3872.0,0.01014,3872.26,0.20389,3871.97,0.38739,3872.29,0.008,3871.92,2.3516,3872.43,0.19,3871.87,0.25851,3872.44,0.00194,3871.79,0.005,3872.45,0.206,3871.76,0.016,3872.46,0.016,3871.74,0.15533,3872.48,0.27923,3871.73,0.00194,3872.49,0.25798,3871.68,0.64559,3872.52,0.64545,3871.58,1.02584,3872.61,0.29609,3871.56,0.50065,3872.62,0.64544,3871.51,2.60691,3872.66,0.04648,3871.5,0.64562,3872.73,0.3,3871.4,0.33825,3872.82,0.24,3871.39,1.08473,3872.83,0.00194,3871.34,0.8232,3872.91,0.2,3871.17,0.26327,3873.04,0.2488,3871.08,0.50471,3873.05,0.50065,3871.07,1.2761,3873.21,0.12914,3871.06,0.41473,3873.22,0.00194,3871.05,1.99998,3873.24,0.24878,3871.04,0.79749,3873.29,0.12895,3871.02,0.37946,3873.3,1.1025,3871.01,0.50065,3873.35,0.50255,3870.97,1.35884,3873.36,0.64673,3870.95,2.23048,3873.44,0.61447,3870.92,0.3727,3873.45,0.02593,3870.91,0.28548,3873.48,0.12326,3870.86,0.31941,3873.5,0.02444,3870.59,1.1025,3873.54,3.80808,3870.56,0.00194,3873.55,3.71821,3870.52,0.12656,3873.61,0.00194,3870.51,4.0527,3873.64,4.29272,3870.5,12.93017,3873.68,4.83079,3870.38,0.5969,3873.69,1.1025,3870.37,0.85228,3873.73,5.80695,3870.3,2.73822,3873.74,3.10781,3870.29,0.66888,3873.85,12.93017,3870.17,0.00194,3873.9,0.00194,3870.15,1.72233,3873.94,0.04888,3870.06,5.80192,3873.98,1.14738,3870.04,4.45668,3874.0,0.00194,3870.0,3.08823,3874.08,26.54819,3869.98,1.1025,3874.1,0.00268,3869.97,4.39678,3874.11,2.86531
2025-10-21T19:07:30.801375,3873.18,6.5752,3873.19,0.69698,3873.03,0.43847,3873.22,0.00194,3873.02,0.77444,3873.43,0.49314,3873.01,0.38729,3873.44,0.204,3873.0,0.30718,3873.45,0.21593,3872.86,0.10328,3873.46,0.25793,3872.81,0.91991,3873.47,0.19,3872.8,2.58114,3873.48,0.12326,3872.79,0.50065,3873.5,0.02444,3872.73,0.77458,3873.57,0.28274,3872.71,0.90386,3873.6,0.64527,3872.62,0.77454,3873.61,0.00194,3872.61,0.025,3873.71,0.3,3872.58,1.48937,3873.9,0.00194,3872.51,4.5207,3874.0,0.00194,3872.46,0.50065,3874.1,0.76959,3872.42,0.04648,3874.11,2.86531,3872.4,0.004,3874.12,0.009,3872.36,0.004,3874.24,3.75265,3872.33,0.30885,3874.27,0.05749,3872.32,0.004,3874.29,6.45164,3872.27,0.02582,3874.36,0.85228,3872.24,0.008,3874.39,0.00194,3872.2,0.2582,3874.57,3.10781,3872.17,0.50065,3874.66,0.24874,3872.14,0.30799,3874.68,2.75065,3872.12,0.00194,3874.69,0.64673,3872.08,0.016,3874.71,4.49781,3872.0,0.00614,3874.72,1.1025,3871.94,13.05976,3874.77,7.98811,3871.93,0.94482,3874.78,0.00194,3871.92,2.3436,3874.79,0.01587,3871.9,0.50065,3874.85,0.00442,3871.85,1.27578,3874.87,0.11625,3871.84,0.41441,3874.9,0.50065,3871.83,1.1025,3874.95,0.08515,3871.82,0.79715,3874.96,0.24865,3871.8,0.37915,3875.0,0.0325,3871.78,0.28156,3875.08,4.7151,3871.75,1.35832,3875.09,12.93175,3871.73,2.23034,3875.15,1.1025,3871.7,0.37294,3875.17,0.00194,3871.69,0.28559,3875.2,0.00525,3871.64,0.31951,3875.29,0.85355,3871.61,0.64673,3875.4,0.00506,3871.56,0.50065,3875.43,0.00642,3871.46,1.27593,3875.45,0.64673,3871.45,0.41446,3875.47,0.01825,3871.43,0.79724,3875.49,2.25292,3871.41,2.51126,3875.55,31.76448
2025-10-21T19:07:40.721184,3873.04,7.59586,3873.05,9.72973,3873.02,0.002,3873.09,0.10724,3873.0,0.10327,3873.13,0.004,3872.98,0.26243,3873.14,0.51898,3872.97,0.38729,3873.15,0.64535,3872.94,0.004,3873.21,0.008,3872.9,0.00194,3873.24,0.64534,3872.86,0.008,3873.27,0.2,3872.82,0.12908,3873.37,0.016,3872.77,0.15613,3873.4,0.4101,3872.76,0.003,3873.41,1.11595,3872.72,0.02581,3873.52,0.25792,3872.71,0.65042,3873.6,0.2,3872.7,0.016,3873.61,0.00194,3872.64,0.77458,3873.67,0.16,3872.51,0.00194,3873.75,0.04647,3872.47,0.36711,3873.88,0.50065,3872.46,0.64546,3874.0,0.00194,3872.45,0.50065,3874.12,0.65873,3872.38,0.00258,3874.24,0.50065,3872.35,0.30823,3874.27,0.05749,3872.34,0.77458,3874.29,0.29813,3872.25,0.81947,3874.33,0.85228,3872.24,1.27566,3874.34,0.99683,3872.23,0.41437,3874.38,1.1025,3872.21,0.79707,3874.39,0.00194,3872.2,0.2582,3874.4,0.24868,3872.19,0.37911,3874.47,0.07691,3872.15,1.3681,3874.52,0.12908,3872.14,1.35854,3874.55,4.24676,3872.12,2.23078,3874.62,39.97418,3872.09,0.37289,3874.68,5.40596,3872.08,0.28556,3874.7,3.35649,3872.03,0.31947,3874.75,12.93017,3872.0,0.05261,3874.76,5.47406,3871.93,1.9434,3874.78,0.00194,3871.92,2.3436,3874.8,0.0138,3871.9,0.50065,3874.85,0.00442,3871.86,0.07647,3874.87,0.11625,3871.85,1.27578,3874.9,0.50065,3871.84,0.41441,3874.94,5.0,3871.83,1.1025,3874.95,0.13402,3871.82,0.79715,3875.0,1.14845,3871.8,0.37915,3875.09,0.00158,3871.76,5.04904,3875.15,1.1025,3871.75,1.35832,3875.17,0.00194,3871.74,12.93017,3875.2,0.00793,3871.73,2.23034,3875.29,0.85355,3871.7,0.37294,3875.4,0.00506,3871.69,0.28559,3875.43,6.45617
2025-10-21T19:07:50.813396,3872.66,5.8813,3872.67,2.05915,3872.62,0.02982,3872.7,0.13108,3872.58,0.004,3872.71,0.2,3872.57,0.31119,3872.74,0.004,3872.56,0.12909,3872.78,0.004,3872.51,0.00194,3872.8,0.64541,3872.5,0.008,3872.84,0.2,3872.47,0.25801,3872.86,0.008,3872.46,0.64546,3872.93,0.64539,3872.38,0.00258,3872.98,0.2706,3872.34,0.016,3872.99,0.58729,3872.33,0.005,3873.02,0.016,3872.29,0.50065,3873.05,0.2,3872.25,0.81947,3873.09,0.10324,3872.24,1.27566,3873.22,0.00194,3872.23,0.41437,3873.24,0.07618,3872.21,0.79707,3873.27,0.2,3872.19,0.37911,3873.28,0.43639,3872.18,0.64551,3873.39,0.33311,3872.15,1.3681,3873.4,1.11595,3872.14,1.66765,3873.59,0.04647,3872.12,2.23078,3873.6,0.2,3872.09,0.37289,3873.61,0.00194,3872.08,1.06022,3873.67,0.16,3872.05,0.025,3873.83,0.47854,3872.03,0.31947,3873.84,1.35121,3872.0,0.00614,3874.0,0.00194,3871.96,0.04648,3874.12,0.012,3871.93,1.9434,3874.13,1.83633,3871.92,2.3436,3874.14,3.62355,3871.9,0.50065,3874.24,0.74936,3871.85,1.27578,3874.27,0.05749,3871.84,0.41441,3874.28,1.72146,3871.82,0.79715,3874.29,1.98861,3871.8,6.30858,3874.33,0.85228,3871.79,12.93017,3874.37,4.8229,3871.78,0.77466,3874.38,1.1025,3871.77,0.64673,3874.39,0.00194,3871.75,1.35832,3874.52,0.12908,3871.73,2.23034,3874.68,5.40596,3871.7,0.37294,3874.7,3.10781,3871.69,0.36437,3874.75,12.93017,3871.65,0.00194,3874.76,0.64673,3871.64,0.31951,3874.78,0.00194,3871.58,0.55684,3874.8,0.0138,3871.57,1.11595,3874.85,0.00442,3871.56,0.50065,3874.87,0.11625,3871.45,0.24887,3874.9,0.50065,3871.41,0.43457,3874.95,0.13402,3871.4,1.23162,3875.0,1.14845
2025-10-21T19:08:00.818458,3872.66,6.17996,3872.67,6.15732,3872.62,0.004,3872.7,0.12908,3872.58,0.004,3872.71,0.91165,3872.56,0.76288,3872.72,0.304,3872.53,0.77454,3872.76,0.004,3872.51,0.00194,3872.8,0.64541,3872.5,0.008,3872.84,0.208,3872.47,0.25801,3872.92,0.19,3872.38,0.00258,3872.93,0.64539,3872.34,0.016,3872.98,0.19,3872.33,0.01,3872.99,0.2,3872.25,0.7424,3873.0,0.016,3872.24,1.27566,3873.04,0.42363,3872.23,0.41437,3873.05,0.2,3872.21,0.79707,3873.06,1.11595,3872.19,0.37911,3873.09,0.10324,3872.18,0.64551,3873.22,0.00194,3872.15,1.69429,3873.27,0.24648,3872.14,1.66765,3873.28,0.43639,3872.13,2.58159,3873.49,0.50065,3872.12,2.23078,3873.52,0.07528,3872.09,0.37289,3873.6,0.2,3872.08,0.28556,3873.61,0.00194,3872.05,0.025,3873.67,0.16,3872.03,0.31947,3873.78,0.24874,3872.0,0.00614,3873.83,0.47854,3871.95,1.63474,3873.84,1.35121,3871.92,2.3436,3874.0,0.00194,3871.85,1.27578,3874.12,0.65873,3871.84,0.41441,3874.13,1.83633,3871.83,0.04648,3874.14,3.62355,3871.82,0.79715,3874.24,0.50065,3871.8,0.63738,3874.27,0.05749,3871.79,1.59498,3874.28,1.72146,3871.78,0.77466,3874.33,0.85228,3871.75,1.85897,3874.35,27.78514,3871.73,2.23034,3874.37,4.8229,3871.72,0.77466,3874.38,1.1025,3871.7,0.37294,3874.39,0.00194,3871.69,0.3611,3874.52,0.12908,3871.65,0.00194,3874.59,5.0,3871.64,0.31951,3874.68,5.40596,3871.41,0.71212,3874.7,3.10781,3871.4,1.23162,3874.75,12.93017,3871.34,0.00194,3874.76,0.64673,3871.29,0.22227,3874.78,0.00194,3871.28,1.11595,3874.8,0.0138,3871.24,0.76983,3874.85,0.00442,3871.23,2.57398,3874.87,0.11625,3871.17,0.005,3874.9,0.50065
