timestamp,bid_p_0,bid_v_0,ask_p_0,ask_v_0,bid_p_1,bid_v_1,ask_p_1,ask_v_1,bid_p_2,bid_v_2,ask_p_2,ask_v_2,bid_p_3,bid_v_3,ask_p_3,ask_v_3,bid_p_4,bid_v_4,ask_p_4,ask_v_4,bid_p_5,bid_v_5,ask_p_5,ask_v_5,bid_p_6,bid_v_6,ask_p_6,ask_v_6,bid_p_7,bid_v_7,ask_p_7,ask_v_7,bid_p_8,bid_v_8,ask_p_8,ask_v_8,bid_p_9,bid_v_9,ask_p_9,ask_v_9,bid_p_10,bid_v_10,ask_p_10,ask_v_10,bid_p_11,bid_v_11,ask_p_11,ask_v_11,bid_p_12,bid_v_12,ask_p_12,ask_v_12,bid_p_13,bid_v_13,ask_p_13,ask_v_13,bid_p_14,bid_v_14,ask_p_14,ask_v_14,bid_p_15,bid_v_15,ask_p_15,ask_v_15,bid_p_16,bid_v_16,ask_p_16,ask_v_16,bid_p_17,bid_v_17,ask_p_17,ask_v_17,bid_p_18,bid_v_18,ask_p_18,ask_v_18,bid_p_19,bid_v_19,ask_p_19,ask_v_19,bid_p_20,bid_v_20,ask_p_20,ask_v_20,bid_p_21,bid_v_21,ask_p_21,ask_v_21,bid_p_22,bid_v_22,ask_p_22,ask_v_22,bid_p_23,bid_v_23,ask_p_23,ask_v_23,bid_p_24,bid_v_24,ask_p_24,ask_v_24,bid_p_25,bid_v_25,ask_p_25,ask_v_25,bid_p_26,bid_v_26,ask_p_26,ask_v_26,bid_p_27,bid_v_27,ask_p_27,ask_v_27,bid_p_28,bid_v_28,ask_p_28,ask_v_28,bid_p_29,bid_v_29,ask_p_29,ask_v_29,bid_p_30,bid_v_30,ask_p_30,ask_v_30,bid_p_31,bid_v_31,ask_p_31,ask_v_31,bid_p_32,bid_v_32,ask_p_32,ask_v_32,bid_p_33,bid_v_33,ask_p_33,ask_v_33,bid_p_34,bid_v_34,ask_p_34,ask_v_34,bid_p_35,bid_v_35,ask_p_35,ask_v_35,bid_p_36,bid_v_36,ask_p_36,ask_v_36,bid_p_37,bid_v_37,ask_p_37,ask_v_37,bid_p_38,bid_v_38,ask_p_38,ask_v_38,bid_p_39,bid_v_39,ask_p_39,ask_v_39,bid_p_40,bid_v_40,ask_p_40,ask_v_40,bid_p_41,bid_v_41,ask_p_41,ask_v_41,bid_p_42,bid_v_42,ask_p_42,ask_v_42,bid_p_43,bid_v_43,ask_p_43,ask_v_43,bid_p_44,bid_v_44,ask_p_44,ask_v_44,bid_p_45,bid_v_45,ask_p_45,ask_v_45,bid_p_46,bid_v_46,ask_p_46,ask_v_46,bid_p_47,bid_v_47,ask_p_47,ask_v_47,bid_p_48,bid_v_48,ask_p_48,ask_v_48,bid_p_49,bid_v_49,ask_p_49,ask_v_49
2025-10-21T19:06:23.364309,2.4141,972.24,2.4142,3335.19,2.414,925.91,2.4143,629.25,2.4139,1743.08,2.4144,1291.76,2.4138,4196.36,2.4145,1791.22,2.4137,2766.47,2.4146,1250.07,2.4136,2424.56,2.4147,2383.25,2.4135,2336.28,2.4148,2581.84,2.4134,1656.64,2.4149,2744.09,2.4133,2596.8,2.415,5178.99,2.4132,848.39,2.4151,5370.05,2.4131,2934.49,2.4152,5401.63,2.413,8582.58,2.4153,887.0,2.4129,2990.04,2.4154,2243.51,2.4128,1051.89,2.4155,1584.75,2.4127,11051.89,2.4156,11385.67,2.4126,1108.56,2.4157,1083.78,2.4125,1787.51,2.4158,20.28,2.4124,5742.06,2.4159,396.66,2.4123,2706.67,2.416,2969.3,2.4122,6806.25,2.4161,5721.78,2.4121,2514.67,2.4162,20.28,2.412,2652.36,2.4163,1666.79,2.4119,19897.36,2.4164,5652.13,2.4118,17695.21,2.4165,2316.69,2.4117,1892.01,2.4166,12332.54,2.4116,21173.08,2.4167,17109.73,2.4115,508.03,2.4168,8438.75,2.4114,1914.56,2.4169,678.11,2.4113,6413.95,2.417,1749.69,2.4112,7026.78,2.4171,5729.44,2.4111,17773.32,2.4172,675.0,2.411,496.01,2.4173,12212.42,2.4109,2402.3,2.4174,43850.59,2.4108,5718.67,2.4175,3255.21,2.4107,517.5,2.4176,6536.51,2.4106,2101.13,2.4177,492.22,2.4105,8020.28,2.4178,951.15,2.4104,200.0,2.4179,445.36,2.4103,695.28,2.418,1828.92,2.4102,1713.08,2.4181,2985.23,2.4101,5738.95,2.4182,5728.34,2.41,329.87,2.4183,3.12,2.4099,1100.95,2.4184,690.24,2.4098,3.12,2.4186,1147.15,2.4097,2150.7,2.4187,2135.42,2.4096,7205.01,2.4189,457.24,2.4094,2930.56,2.419,1510.31,2.4093,8000.0,2.4192,9476.47,2.4092,113.5,2.4193,6588.67,2.4091,675.0,2.4194,172765.47
2025-10-21T19:06:40.728628,2.4155,3621.6,2.4156,1528.68,2.4154,3022.7,2.4157,557.78,2.4153,4424.62,2.4158,1519.52,2.4152,2161.73,2.4159,782.09,2.4151,2489.93,2.416,2662.69,2.415,3587.98,2.4161,306.26,2.4149,2066.13,2.4162,1280.91,2.4148,1738.8,2.4163,2320.59,2.4147,3560.51,2.4164,2825.95,2.4146,1688.11,2.4165,1852.39,2.4145,1281.74,2.4166,1520.41,2.4144,2398.64,2.4167,4007.61,2.4143,2163.14,2.4168,438.75,2.4142,1904.35,2.4169,2581.62,2.4141,8274.5,2.417,1749.69,2.414,14445.31,2.4171,5729.44,2.4139,20.28,2.4172,4992.69,2.4138,828.25,2.4173,23.39,2.4137,2149.69,2.4174,197.0,2.4136,6396.78,2.4175,3055.21,2.4135,6513.83,2.4176,6536.51,2.4134,655.82,2.4177,799.14,2.4133,5216.52,2.4178,5916.65,2.4132,698.39,2.4179,445.36,2.4131,6740.59,2.418,19172.96,2.413,29042.66,2.4181,7876.18,2.4129,19083.46,2.4182,23023.37,2.4128,5469.63,2.4183,3.12,2.4127,7095.5,2.4184,8690.24,2.4126,1104.06,2.4186,2788.5,2.4125,1714.0,2.4187,15766.42,2.4124,5742.06,2.4188,26456.04,2.4123,675.0,2.4189,457.24,2.4122,26.5,2.419,1510.31,2.4121,3002.14,2.4191,2828.73,2.412,10405.41,2.4192,11635.87,2.4119,5718.67,2.4193,6446.66,2.4118,588.15,2.4194,451.55,2.4117,8162.17,2.4195,1512.72,2.4116,21373.08,2.4196,1046.15,2.4115,508.03,2.4197,1463.45,2.4114,2067.58,2.4198,1992.24,2.4113,6413.95,2.4199,6393.67,2.4112,8000.0,2.42,916.68,2.4111,425.95,2.4202,2140.66,2.411,496.01,2.4203,457.58,2.4109,695.28,2.4205,6426.21,2.4108,5718.67,2.4206,40816.44,2.4107,587.77,2.4207,1022.22,2.4106,1901.13,2.4208,675.0
2025-10-21T19:06:50.647252,2.4155,2566.47,2.4156,108.1,2.4154,3299.88,2.4157,223.8,2.4153,1716.12,2.4158,1222.95,2.4152,2603.35,2.4159,2351.75,2.4151,1526.1,2.416,1299.34,2.415,3037.2,2.4161,1480.55,2.4149,943.08,2.4162,1998.45,2.4148,814.45,2.4163,1204.62,2.4147,1238.89,2.4164,1914.94,2.4146,6162.66,2.4165,6349.77,2.4145,2299.69,2.4166,3845.32,2.4144,3368.42,2.4167,2570.74,2.4143,1934.15,2.4168,1870.92,2.4142,1904.35,2.4169,2587.13,2.4141,10598.35,2.417,1970.46,2.414,14167.62,2.4171,5729.44,2.4139,20.28,2.4172,6771.05,2.4138,814.45,2.4173,5957.65,2.4137,2149.69,2.4174,329.56,2.4136,8245.22,2.4175,3055.21,2.4135,6513.83,2.4176,6550.3,2.4134,1583.41,2.4177,2589.6,2.4133,5215.77,2.4178,6112.9,2.4132,2718.02,2.4179,5492.97,2.4131,13506.53,2.418,18926.01,2.413,28628.46,2.4181,2932.22,2.4129,19083.46,2.4182,5728.34,2.4128,3450.0,2.4183,8003.12,2.4127,329.56,2.4184,690.24,2.4126,1104.06,2.4186,2788.5,2.4125,1714.0,2.4187,15766.42,2.4124,5742.06,2.4188,26456.04,2.4123,675.0,2.4189,5574.66,2.4122,26.5,2.419,18847.21,2.4121,405.67,2.4191,2828.73,2.412,10405.41,2.4192,9825.62,2.4119,5718.67,2.4193,6393.67,2.4118,788.15,2.4194,451.55,2.4117,7160.7,2.4195,1512.72,2.4116,21373.08,2.4196,678.88,2.4115,508.03,2.4197,1767.26,2.4114,1811.42,2.4198,1992.24,2.4113,6413.95,2.4199,6393.67,2.4112,8000.0,2.42,916.68,2.4111,425.95,2.4202,2140.66,2.411,496.01,2.4203,457.58,2.4109,695.28,2.4204,618.26,2.4108,5718.67,2.4205,6393.67,2.4107,6651.38,2.4206,40816.44,2.4106,1901.13,2.4207,1022.22
2025-10-21T19:07:00.747839,2.4153,21.32,2.4154,3907.37,2.4152,209.39,2.4155,1089.36,2.4151,922.8,2.4156,1806.7,2.415,1377.11,2.4157,2562.77,2.4149,905.28,2.4158,2549.13,2.4148,619.48,2.4159,2187.24,2.4147,740.98,2.416,1426.12,2.4146,523.74,2.4161,1219.61,2.4145,672.55,2.4162,3329.02,2.4144,2185.16,2.4163,7097.57,2.4143,34.08,2.4164,2651.92,2.4142,3797.94,2.4165,2086.13,2.4141,6383.11,2.4166,6752.65,2.414,2176.13,2.4167,2762.95,2.4139,20.28,2.4168,1123.4,2.4138,814.45,2.4169,678.11,2.4137,2149.69,2.417,1970.46,2.4136,21087.12,2.4171,5729.44,2.4135,405.67,2.4172,2453.36,2.4134,2212.73,2.4173,5957.65,2.4133,7324.05,2.4174,526.56,2.4132,7711.28,2.4175,3846.17,2.4131,6709.27,2.4176,6536.51,2.413,23244.77,2.4177,9796.1,2.4129,1729.37,2.4178,700.13,2.4128,3450.0,2.4179,5492.97,2.4127,329.56,2.418,26926.01,2.4126,1104.06,2.4181,7900.25,2.4125,1714.0,2.4182,23104.03,2.4124,5742.06,2.4183,3.12,2.4123,675.0,2.4184,690.24,2.4122,26.5,2.4186,2788.5,2.4121,17832.68,2.4187,15766.42,2.412,2405.41,2.4188,26456.04,2.4119,5918.67,2.4189,457.24,2.4118,788.15,2.419,1510.31,2.4117,7160.7,2.4191,2881.72,2.4116,21665.98,2.4192,11591.22,2.4115,508.03,2.4193,6393.67,2.4114,1811.42,2.4194,451.55,2.4113,8763.74,2.4195,1512.72,2.4112,8000.0,2.4196,678.88,2.4111,425.95,2.4197,1463.45,2.411,3.11,2.4198,1992.24,2.4109,695.28,2.4199,6393.67,2.4108,5718.67,2.42,916.68,2.4107,7345.17,2.4202,2140.66,2.4106,1901.13,2.4203,457.58,2.4105,20.28,2.4205,6393.67,2.4104,174080.35,2.4206,40816.44
2025-10-21T19:07:10.747564,2.4143,906.79,2.4144,1961.29,2.4142,217.1,2.4145,1017.92,2.4141,841.62,2.4146,1352.85,2.414,1608.3,2.4147,2448.17,2.4139,3540.11,2.4148,2424.63,2.4138,1720.54,2.4149,1964.5,2.4137,1548.86,2.415,2287.84,2.4136,1945.2,2.4151,862.01,2.4135,1205.73,2.4152,6136.83,2.4134,544.25,2.4153,7883.92,2.4133,126.63,2.4154,7452.68,2.4132,698.39,2.4155,1347.46,2.4131,1954.74,2.4156,2504.72,2.413,8448.19,2.4157,1720.21,2.4129,2215.94,2.4158,8177.03,2.4128,5613.87,2.4159,25835.69,2.4127,343.36,2.416,65906.25,2.4126,1104.06,2.4161,3.11,2.4125,1714.0,2.4162,691.29,2.4124,7850.88,2.4163,875.11,2.4123,675.0,2.4164,27.67,2.4122,11368.42,2.4165,19772.09,2.4121,22742.49,2.4166,13235.58,2.412,2791.42,2.4167,4935.99,2.4119,5718.67,2.4168,17545.32,2.4118,5174.18,2.4169,678.11,2.4117,25504.74,2.417,10342.68,2.4116,21665.98,2.4171,5729.44,2.4115,508.03,2.4172,675.0,2.4114,1811.42,2.4173,23.39,2.4113,13702.31,2.4175,1104.06,2.4112,25439.39,2.4176,6536.51,2.4111,425.95,2.4177,208.3,2.411,3.11,2.4178,700.13,2.4109,2402.3,2.4179,595.81,2.4108,5718.67,2.418,1968.06,2.4107,647.47,2.4181,1172.68,2.4106,10101.13,2.4182,5728.34,2.4105,6786.22,2.4183,3.12,2.4103,695.28,2.4184,739.86,2.4102,1713.08,2.4186,509.73,2.4101,5738.95,2.4187,7854.09,2.41,211.57,2.4188,26456.04,2.4099,1100.95,2.4189,6.41,2.4098,3.12,2.419,1510.31,2.4096,7205.01,2.4192,9476.47,2.4094,405.67,2.4193,6588.67,2.4093,675.0,2.4195,1512.72,2.4092,113.5,2.4196,678.88,2.4089,6631.1,2.4197,1463.45
2025-10-21T19:07:20.773463,2.4141,500.13,2.4142,2152.59,2.414,3.11,2.4143,869.31,2.4139,1626.68,2.4144,1052.47,2.4138,3001.98,2.4145,1396.14,2.4137,1348.48,2.4146,1754.97,2.4136,2046.95,2.4147,2853.84,2.4135,1205.73,2.4148,1942.75,2.4134,26.5,2.4149,1751.14,2.4133,522.24,2.415,4934.1,2.4132,819.51,2.4151,7417.03,2.4131,2472.56,2.4152,1971.12,2.413,7466.44,2.4153,5142.27,2.4129,4740.68,2.4154,7485.83,2.4128,5341.63,2.4155,4174.37,2.4127,343.36,2.4156,5981.73,2.4126,1104.06,2.4157,678.11,2.4125,1714.0,2.4158,1574.61,2.4124,5742.06,2.4159,25594.91,2.4123,1150.86,2.416,65906.25,2.4122,7146.97,2.4161,3.11,2.4121,27323.82,2.4162,691.29,2.412,12010.43,2.4163,678.11,2.4119,5718.67,2.4164,6006.95,2.4118,588.15,2.4165,24991.1,2.4117,10099.28,2.4166,7225.29,2.4116,21665.98,2.4167,3215.34,2.4115,508.03,2.4168,25545.32,2.4114,1811.42,2.4169,678.11,2.4113,11314.31,2.417,246.43,2.4112,21413.05,2.4171,5729.44,2.4111,13654.71,2.4172,675.0,2.411,1147.78,2.4173,23.39,2.4109,2402.3,2.4175,1104.06,2.4108,5718.67,2.4176,6736.51,2.4107,2955.28,2.4177,208.3,2.4106,10101.13,2.4178,700.13,2.4105,20.28,2.4179,8.34,2.4103,695.28,2.418,1968.06,2.4102,1713.08,2.4181,1172.68,2.4101,5738.95,2.4182,5728.34,2.41,423.14,2.4183,3.12,2.4099,1100.95,2.4184,739.86,2.4098,8003.12,2.4186,509.73,2.4096,7205.01,2.4187,7854.09,2.4094,405.67,2.4188,26256.04,2.4093,675.0,2.4189,6.41,2.4092,113.5,2.419,1510.31,2.4089,6631.1,2.4192,9476.47,2.4088,175241.76,2.4193,6588.67,2.4087,408.5,2.4195,1512.72
2025-10-21T19:07:30.795358,2.4145,5678.75,2.4146,40.79,2.4144,2501.68,2.4148,719.28,2.4143,2295.3,2.4149,1512.34,2.4142,2418.77,2.415,2989.02,2.4141,1961.51,2.4151,1917.81,2.414,1862.67,2.4152,1254.07,2.4139,2746.68,2.4153,2500.26,2.4138,3072.37,2.4154,1035.01,2.4137,1006.55,2.4155,7623.5,2.4136,3441.67,2.4156,24519.17,2.4135,2335.4,2.4157,1408.74,2.4134,26.5,2.4158,8215.35,2.4133,18.3,2.4159,5724.89,2.4132,818.49,2.416,1085.79,2.4131,2368.94,2.4161,1850.06,2.413,6947.94,2.4162,691.29,2.4129,990.04,2.4163,875.11,2.4128,834.73,2.4164,27.67,2.4127,343.36,2.4165,6702.02,2.4126,6636.73,2.4166,7225.29,2.4125,13614.51,2.4167,7115.05,2.4124,5742.06,2.4168,22763.68,2.4123,5893.36,2.4169,678.11,2.4122,18813.62,2.417,2342.68,2.4121,729.36,2.4171,5729.44,2.412,2791.42,2.4172,675.0,2.4119,5718.67,2.4173,17412.83,2.4118,588.15,2.4174,2727.5,2.4117,10099.28,2.4175,11314.91,2.4116,21665.98,2.4176,6736.51,2.4115,508.03,2.4177,208.3,2.4114,1811.42,2.4178,700.13,2.4113,23042.38,2.4179,536.11,2.4112,31004.78,2.418,1814.1,2.4111,768.56,2.4181,2882.59,2.411,1147.78,2.4182,5728.34,2.4109,2402.3,2.4183,3.12,2.4108,5918.67,2.4184,739.86,2.4107,647.47,2.4185,250.97,2.4106,2101.13,2.4186,2854.18,2.4105,20.28,2.4187,15134.68,2.4103,695.28,2.4188,26256.04,2.4102,1713.08,2.4189,6.41,2.4101,5738.95,2.419,1510.31,2.41,751.77,2.4192,9476.47,2.4099,3489.88,2.4193,6588.67,2.4098,8003.12,2.4195,1512.72,2.4096,7205.01,2.4196,678.88,2.4094,405.67,2.4197,1463.45,2.4093,675.0,2.4198,83.73
2025-10-21T19:07:40.570775,2.4148,1086.58,2.4149,2073.88,2.4147,206.28,2.415,1107.95,2.4146,803.11,2.4151,1976.98,2.4145,4346.34,2.4152,1776.39,2.4144,1608.76,2.4153,2385.23,2.4143,1092.48,2.4154,1946.96,2.4142,2049.17,2.4155,2052.73,2.4141,537.92,2.4156,2996.53,2.414,870.02,2.4157,5667.46,2.4139,1259.42,2.4158,3633.45,2.4138,704.01,2.4159,3204.93,2.4137,3190.28,2.416,1420.2,2.4136,6913.25,2.4161,8636.78,2.4135,6124.34,2.4162,2663.29,2.4134,26.5,2.4163,5322.34,2.4132,698.39,2.4164,259.77,2.4131,1793.49,2.4165,20688.91,2.413,7364.62,2.4166,69575.6,2.4129,3098.56,2.4167,7.61,2.4128,2028.73,2.4168,635.75,2.4127,5844.91,2.4169,678.11,2.4126,7515.99,2.417,2342.68,2.4125,4739.81,2.4171,11738.35,2.4124,5742.06,2.4172,5864.99,2.4123,5788.01,2.4173,22491.64,2.4122,22240.7,2.4174,19818.82,2.4121,18662.07,2.4175,9104.06,2.412,2791.42,2.4176,6536.51,2.4119,5718.67,2.4177,8.3,2.4118,2535.58,2.4178,700.13,2.4117,16865.22,2.4179,536.11,2.4116,21173.08,2.418,1814.1,2.4115,508.03,2.4181,1172.68,2.4114,1811.42,2.4182,5728.34,2.4113,12034.45,2.4183,203.12,2.4112,21565.39,2.4184,1043.79,2.4111,625.95,2.4185,200.0,2.411,1147.78,2.4186,509.73,2.4109,695.28,2.4187,7854.09,2.4108,5918.67,2.4188,26256.04,2.4107,587.77,2.4189,206.41,2.4106,1901.13,2.419,1510.31,2.4105,20.28,2.4192,9476.47,2.4103,695.28,2.4193,6393.67,2.4102,6631.1,2.4195,1512.72,2.4101,5738.95,2.4196,678.88,2.41,423.14,2.4197,1463.45,2.4099,1100.95,2.4198,83.73,2.4098,8003.12,2.4199,6393.67,2.4096,7205.01,2.42,916.68
2025-10-21T19:07:50.793398,2.4146,2711.86,2.4147,78.56,2.4145,1845.01,2.4148,58.08,2.4144,3340.38,2.4149,1278.52,2.4143,1332.3,2.415,2525.16,2.4142,1712.65,2.4151,2410.59,2.4141,1527.61,2.4152,1715.34,2.414,1383.18,2.4153,1934.61,2.4139,1763.24,2.4154,1155.93,2.4138,344.06,2.4155,3887.49,2.4137,1480.69,2.4156,2312.33,2.4136,3320.84,2.4157,2006.77,2.4135,9888.58,2.4158,1303.06,2.4134,26.5,2.4159,1204.93,2.4133,18.3,2.416,3760.04,2.4132,698.39,2.4161,6359.33,2.4131,1793.49,2.4162,691.29,2.413,6697.4,2.4163,15610.84,2.4129,675.0,2.4164,54304.57,2.4128,1464.16,2.4165,2983.03,2.4127,3603.87,2.4166,12078.06,2.4126,6298.28,2.4167,3.11,2.4125,7926.81,2.4168,2378.91,2.4124,17726.14,2.4169,6687.57,2.4123,5788.01,2.417,2342.68,2.4122,18812.02,2.4171,5729.44,2.4121,1222.26,2.4172,5864.99,2.412,5842.27,2.4173,22992.21,2.4119,16670.39,2.4174,17425.08,2.4118,588.15,2.4175,2109.32,2.4117,10099.28,2.4176,6536.51,2.4116,21173.08,2.4177,8.3,2.4115,508.03,2.4178,700.13,2.4114,6952.29,2.4179,8.34,2.4113,26174.77,2.418,1464.06,2.4112,8000.0,2.4181,1172.68,2.4111,968.56,2.4182,5928.34,2.411,1147.78,2.4183,203.12,2.4109,695.28,2.4184,1043.79,2.4108,5918.67,2.4185,200.0,2.4107,587.77,2.4186,509.73,2.4106,2324.27,2.4187,7854.09,2.4105,20.28,2.4188,26256.04,2.4103,695.28,2.4189,6.41,2.4102,6631.1,2.419,1510.31,2.4101,5738.95,2.4192,9476.47,2.4099,1100.95,2.4193,6393.67,2.4098,8003.12,2.4195,1512.72,2.4096,7205.01,2.4196,678.88,2.4094,405.67,2.4197,1463.45,2.4093,675.0,2.4198,83.73
2025-10-21T19:08:00.832460,2.4145,279.12,2.4146,1655.01,2.4144,210.48,2.4147,1634.79,2.4143,1006.28,2.4148,1715.38,2.4142,2298.2,2.4149,2122.45,2.4141,3088.87,2.415,2283.08,2.414,2044.66,2.4151,1433.65,2.4139,2202.7,2.4152,3792.96,2.4138,3.11,2.4153,10449.64,2.4137,1164.8,2.4154,1065.93,2.4136,3320.84,2.4155,2029.02,2.4135,7699.03,2.4156,1931.93,2.4134,5936.39,2.4157,1342.77,2.4133,18.3,2.4158,2114.93,2.4132,698.39,2.4159,4330.02,2.4131,1793.49,2.416,8065.94,2.413,6697.4,2.4161,18139.13,2.4129,688.81,2.4162,41208.32,2.4128,834.73,2.4163,678.11,2.4127,329.56,2.4164,224.67,2.4126,3048.59,2.4165,2983.03,2.4125,10035.57,2.4166,7772.34,2.4124,15236.26,2.4167,794.55,2.4123,15006.37,2.4168,5657.11,2.4122,18812.02,2.4169,678.11,2.4121,1222.26,2.417,4305.05,2.412,5842.27,2.4171,13729.44,2.4119,16670.39,2.4172,5864.99,2.4118,588.15,2.4173,21763.17,2.4117,10099.28,2.4174,17425.08,2.4116,21173.08,2.4175,1104.06,2.4115,508.03,2.4176,6536.51,2.4114,6952.29,2.4177,8.3,2.4113,25337.34,2.4178,700.13,2.4111,625.95,2.4179,645.36,2.411,1147.78,2.418,1464.06,2.4109,695.28,2.4181,3090.63,2.4108,13918.67,2.4182,5928.34,2.4107,20.28,2.4183,3.12,2.4106,2324.27,2.4184,1043.79,2.4105,20.28,2.4186,509.73,2.4103,695.28,2.4187,7854.09,2.4102,6631.1,2.4188,26256.04,2.4101,5738.95,2.4189,6.41,2.4099,1100.95,2.419,1510.31,2.4098,8003.12,2.4192,9476.47,2.4096,7205.01,2.4193,6588.67,2.4094,405.67,2.4195,1512.72,2.4093,675.0,2.4196,678.88,2.4092,113.5,2.4197,1463.45,2.4088,175241.76,2.4198,83.73
